id,price_eur,price_eur_foil,price_tix,price_usd,price_usd_foil,mana_cost_id,type_line_id,power_toughness_or_loyalty_id,artist_id,set_code_id,rarity_id,language_id,finishes_id,legalities_id
25,0.1,0.21,0.03,0.22,0.21,70,110,20,149,29,1,1,2,11
26,0.26,0.25,0.25,0.3,0.28,104,110,15,152,28,3,1,2,13
27,0.15,2.14,0.03,0.14,7.92,18,110,14,204,1,4,1,2,33
28,0.42,0.56,0.03,0.33,0.46,45,62,17,189,102,3,1,2,13
29,0.02,0.08,0.03,0.16,0.02,92,5,36,48,3,1,1,2,18
30,0.09,0.86,0.03,0.14,1.19,19,90,19,132,66,4,1,2,32
31,0.16,0.72,0.04,0.07,1.03,94,161,14,109,84,1,1,2,36
32,0.06,0.17,0.03,0.23,0.3,36,157,6,2,28,1,1,2,12
33,0.33,0.56,0.03,0.34,2.15,3,165,13,182,68,1,1,2,24
34,0.07,0.26,0.04,0.09,0.19,43,151,20,133,62,1,1,2,18
35,0.07,0.1,0.07,0.18,0.38,46,132,14,130,21,4,1,2,26
36,0.12,0.41,0.03,0.19,0.7,46,150,23,22,99,4,1,2,32
37,6.84,8.64,0.03,11.45,12.17,44,179,28,205,53,2,1,2,7
38,0.07,0.15,0.03,0.21,0.34,24,154,11,94,53,1,1,2,6
39,0.1,0.24,0.03,0.13,0.36,26,86,15,35,104,4,1,2,13
40,0.02,0.42,0.03,0.11,0.35,94,86,3,38,57,1,1,2,31
41,0.08,0.24,0.03,0.15,0.33,36,6,14,78,80,4,1,2,14
42,0.03,0.05,0.03,0.08,0.13,19,105,14,125,30,1,1,2,1
43,0.03,0.05,0.03,0.06,0.11,19,85,14,80,108,1,1,2,1
44,0.58,7.63,0.02,0.76,15.79,12,219,1,182,98,3,1,2,32
45,4.71,0.63,0.03,0.45,0.45,42,5,14,88,37,3,1,1,3
46,0.02,0.09,0.03,0.12,0.24,76,112,2,104,43,1,1,2,11
47,0.04,0.06,0.03,0.1,0.13,55,7,21,15,53,1,1,2,5
48,0.04,0.3,0.03,0.18,0.15,63,122,37,213,41,1,1,2,11
49,0.19,0.5,0.03,0.26,2.01,70,228,21,188,24,4,1,2,32
50,0.13,0.26,0.03,0.22,0.27,19,199,13,144,38,4,1,2,4
51,0.36,0.69,0.02,1.01,0.51,38,123,22,183,33,3,1,2,3
52,0.21,0.82,0.03,0.28,0.4,16,208,14,234,29,4,1,2,13
53,0.05,0.03,0.03,0.14,0.19,61,35,33,175,103,1,1,2,1
54,0.09,0.2,0.03,0.25,0.3,32,124,21,9,25,4,1,2,4
55,0.3,0.48,0.2,9.43,0.41,51,46,27,38,7,3,1,2,13
56,0.09,0.15,0.04,0.03,0.35,52,50,14,197,4,1,1,2,30
57,0.16,0.08,0.04,0.19,0.06,54,163,22,114,2,1,1,2,12
58,0.14,0.28,0.04,0.19,0.36,29,63,15,110,61,1,1,2,11
59,0.07,0.34,0.03,0.06,0.12,23,5,4,135,6,1,1,2,19
60,1,3.79,0.02,0.97,4.51,19,172,13,230,48,3,1,2,20
61,0.44,19.85,0.03,0.38,5.5,72,101,27,61,74,3,1,2,38
62,0.07,0.07,0.01,0.15,0.28,101,11,8,166,78,1,1,2,1
63,0.05,0.25,0.03,0.1,0.12,36,48,14,200,42,1,1,2,12
64,0.06,0.16,0.03,0.16,0.19,55,31,21,65,68,1,1,2,23
65,0.09,0.21,0.04,0.23,0.37,52,86,16,171,15,4,1,2,20
66,0.06,0.1,0.03,0.16,0.36,52,54,16,218,67,1,1,2,23
67,0.05,0.25,0.03,0.11,0.32,9,78,15,201,91,1,1,2,11
68,0.03,0.1,0.03,0.1,0.07,73,101,22,144,17,1,1,2,12
69,0.04,0.16,0.04,0.16,0.39,42,3,13,99,29,1,1,2,11
70,0.02,0.17,0.03,0.11,0.15,3,95,8,7,75,1,1,2,11
71,0.15,0.28,0.08,0.27,0.72,19,52,19,227,6,3,1,2,20
72,0.05,0.07,0.03,0.22,0.19,42,15,13,64,25,1,1,2,1
73,0.09,0.22,0.04,0.19,0.31,37,111,8,178,94,4,1,2,32
74,0.16,0.33,0.03,0.23,0.21,55,51,21,95,63,4,1,2,14
75,0.09,0.37,0.03,0.11,0.25,72,158,38,206,6,3,1,2,20
76,0.16,1.02,0.12,0.15,0.99,65,120,42,207,6,2,1,2,20
77,0.06,0.05,0.01,0.07,0.18,79,28,28,205,37,4,1,2,3
78,0.29,1.1,0.03,0.2,1.37,49,109,20,58,26,4,1,2,32
79,0.26,0.28,0.02,0.48,0.26,29,70,26,18,25,3,1,2,3
80,0.05,0.13,0.03,0.23,0.28,3,121,10,87,14,1,1,2,2
81,0.02,0.08,0.03,0.05,0.02,61,131,24,217,70,1,1,2,5
82,0.12,0.22,0.01,0.18,0.29,38,206,20,166,78,4,1,2,3
83,0.34,0.32,0.02,0.34,0.47,38,204,9,3,108,3,1,2,4
84,0.09,0.3,0.03,0.19,0.27,106,206,13,98,78,4,1,2,3
85,0.02,0.05,0.01,0.11,0.24,19,103,14,167,78,1,1,2,1
86,0.33,3.12,0.03,0.35,4.11,43,175,14,47,48,4,1,2,20
87,0.07,0.38,0.03,0.27,0.31,56,81,15,10,72,4,1,2,32
88,0.03,0.05,0.03,0.08,0.15,14,95,13,163,103,1,1,2,1
89,0.05,1.06,0.12,0.09,0.45,3,92,8,65,87,1,1,2,36
90,0.05,0.22,0.04,0.02,0.25,29,95,20,43,105,1,1,2,18
91,0.32,1.04,0.02,0.25,1.01,4,84,20,163,105,3,1,2,20
92,3.79,7.43,0.5,3.69,8.16,84,95,15,88,64,3,1,2,10
93,0.2,0.36,0.02,0.32,0.51,19,206,14,150,78,3,1,2,3
94,0.04,0.07,0.03,0.19,0.27,3,104,8,225,78,1,1,2,1
95,0.04,0.1,0.01,0.12,0.21,38,103,16,28,78,1,1,2,1
96,0.44,0.62,0.22,2.01,0.54,24,223,15,134,101,3,1,2,3
97,0.29,2.52,0.02,0.46,4,51,204,21,65,90,3,1,2,32
98,0.47,0.71,0.06,1.25,0.95,35,220,16,102,70,2,1,2,7
99,0.08,0.21,0.03,0.2,0.5,31,108,28,44,8,4,1,2,14
100,0.09,0.68,0.03,0.25,0.75,32,126,20,199,8,4,1,2,14
101,0.03,0.12,0.03,0.06,0.34,32,164,14,213,115,1,1,2,11
102,0.06,0.11,0.03,0.2,0.2,24,64,14,134,38,1,1,2,1
103,0.04,0.08,0.03,0.11,0.2,23,11,10,8,78,1,1,2,1
104,0.03,0.08,0.03,0.06,0.21,52,97,21,24,78,1,1,2,1
105,0.1,0.15,0.03,0.16,0.22,29,41,25,99,32,1,1,2,12
106,0.06,0.18,0.04,0.24,0.27,19,45,13,38,21,1,1,2,11
107,0.06,0.09,0.03,0.23,0.25,7,43,8,76,103,1,1,2,2
108,0.06,0.19,0.07,0.2,0.4,82,43,21,73,52,1,1,2,11
109,0.08,0.14,0.05,0.06,0.21,58,52,27,82,6,4,1,2,14
110,0.04,0.15,0.03,0.13,0.09,72,53,17,129,7,1,1,2,12
111,0.05,0.61,0.06,0.09,0.91,67,29,14,81,84,4,1,2,37
112,0.02,0.17,0.05,1.47,0.25,54,53,28,213,64,4,1,2,9
113,0.03,0.03,0.03,0.04,0.07,14,101,13,113,17,1,1,2,11
114,0.19,0.22,0.04,0.18,0.31,55,93,14,211,107,4,1,2,29
115,0.04,0.07,0.03,0.13,0.12,38,17,21,30,25,4,1,2,4
116,9.93,12.22,5.02,24.63,11.52,19,183,9,39,68,2,1,2,22
117,0.16,0.23,0.03,0.29,0.33,19,34,14,134,37,4,1,2,4
118,0.1,0.66,0.03,0.3,0.62,108,33,14,163,23,1,1,2,30
119,0.23,0.17,0.02,0.28,0.3,36,191,12,194,53,3,1,2,7
120,0.45,0.55,0.04,1.3,0.89,13,210,21,70,21,4,1,2,13
121,0.06,0.39,0.03,0.08,0.42,99,75,8,164,19,1,1,2,31
122,0.22,0.64,0.03,0.26,2.95,11,74,8,184,16,1,1,2,31
123,0.12,0.48,0.03,0.17,0.71,32,74,14,4,98,1,1,2,31
124,0.08,0.1,0.03,0.15,0.14,11,169,13,18,80,1,1,2,12
125,0.13,0.38,0.04,0.12,0.4,11,75,13,159,16,4,1,2,32
126,0.06,0.14,0.03,0.3,0.27,99,141,8,228,75,1,1,2,12
127,0.06,0.5,0.03,0.24,0.37,11,74,8,57,19,1,1,2,30
128,0.07,0.12,0.03,0.22,0.22,11,73,10,180,80,1,1,2,15
129,0.1,0.47,0.05,0.08,0.31,11,75,13,79,98,1,1,2,30
130,0.11,0.67,0.03,0.16,1.6,49,72,8,210,19,4,1,2,32
131,0.08,0.19,0.03,0.09,0.35,68,68,29,6,92,4,1,2,32
132,0.04,0.25,0.03,0.05,0.25,32,100,20,226,82,1,1,2,18
133,0.03,0.17,0.72,0.21,0.18,99,55,3,105,119,1,1,2,12
134,0.04,0.41,0.03,0.24,0.33,82,126,29,130,119,4,1,2,14
135,0.1,0.41,0.04,0.29,1.49,106,101,8,212,9,1,1,2,30
136,0.17,0.46,0.03,0.18,0.33,67,99,20,100,15,4,1,2,20
137,0.29,0.63,0.04,0.28,0.37,99,101,8,114,113,1,1,2,11
138,0.08,0.41,0.03,0.1,0.4,106,101,8,11,85,1,1,2,18
139,0.08,0.24,0.04,0.17,0.36,32,108,13,153,48,4,1,2,20
140,0.09,0.35,0.04,0.05,0.37,55,101,21,205,15,4,1,2,20
141,0.08,0.2,0.03,0.07,0.32,55,40,14,235,48,1,1,2,19
142,0.31,1.21,0.03,0.32,0.77,19,101,8,155,15,1,1,2,12
143,0.13,1.2,0.04,0.18,1.25,55,86,16,53,54,4,1,2,38
144,0.32,0.29,0.02,0.68,0.37,95,215,35,132,86,3,1,2,7
145,0.08,0.11,0.03,0.11,0.11,19,140,14,138,75,1,1,2,12
146,0.05,0.34,0.04,0.03,0.41,55,114,15,88,52,1,1,2,11
147,0.36,3.85,0.02,0.39,6.99,106,119,10,68,46,3,1,2,37
148,0.06,0.27,0.04,0.24,0.35,19,110,13,95,3,1,1,2,23
149,0.09,1.05,0.04,0.11,0.52,38,157,5,188,74,1,1,2,36
150,0.16,0.34,0.02,0.31,0.39,53,214,23,122,14,3,1,2,3
151,0.14,0.15,0.03,0.18,0.3,24,83,15,160,38,4,1,2,4
152,0.12,0.5,0.03,0.07,0.49,14,110,8,58,11,1,1,2,30
153,0.08,0.15,0.03,0.14,0.26,49,135,26,105,14,1,1,2,2
154,0.07,0.12,0.03,0.3,0.31,3,127,13,69,103,4,1,2,4
155,0.07,0.25,0.04,0.19,0.4,67,203,27,235,22,4,1,2,38
156,0.06,0.15,0.03,0.16,0.31,6,98,16,189,43,4,1,2,14
157,0.44,18.73,0.15,0.52,18,54,205,21,156,87,3,1,2,38
158,0.09,0.19,0.04,0.13,0.27,45,35,8,168,71,4,1,2,32
159,0.06,0.16,0.03,0.18,0.26,36,190,15,135,104,4,1,2,13
160,0.09,1.29,0.04,0.12,1.75,4,92,14,182,74,1,1,2,35
161,0.05,0.17,0.03,0.12,0.1,24,19,15,71,6,1,1,2,12
162,0.14,0.16,0.03,0.23,0.27,55,49,15,142,35,4,1,2,4
163,0.04,0.04,0.03,0.16,0.27,96,88,8,136,17,4,1,2,14
164,0.14,1.11,0.09,0.17,0.68,87,8,28,83,46,4,1,2,38
165,0.11,0.39,0.03,0.08,0.53,14,144,8,36,59,4,1,2,32
166,0.14,0.14,0.04,0.32,0.13,32,153,15,126,114,4,1,2,14
167,0.05,0.2,0.03,0.11,0.3,96,32,8,63,43,1,1,2,12
168,0.17,0.54,0.02,0.25,0.4,39,28,40,49,41,3,1,2,20
169,0.84,1.33,2.69,2.39,1.36,55,33,22,29,21,3,1,2,38
170,0.04,0.12,0.03,0.16,0.27,15,196,15,45,35,4,1,2,4
171,0.08,1.07,0.09,0.16,0.29,29,113,14,162,89,4,1,2,38
172,0.58,0.59,0.06,1,0.53,44,196,21,135,35,2,1,2,3
173,1,0.45,0.03,0.15,0.35,19,40,14,77,65,1,1,2,11
174,0.77,0.97,0.13,4.97,1.59,54,188,8,135,50,2,1,2,16
175,0.4,0.79,0.03,0.26,0.6,106,174,8,149,104,4,1,2,13
176,0.15,0.46,0.03,0.26,0.74,60,16,7,104,29,4,1,2,13
177,0.28,0.47,0.14,0.36,0.59,47,184,40,141,22,3,1,2,38
178,0.34,0.78,0.69,0.38,0.93,58,218,34,197,77,3,1,2,29
179,0.87,2.58,0.02,1.84,10,18,211,10,111,1,3,1,2,32
180,0.03,0.16,0.04,0.4,0.4,61,18,27,124,51,1,1,2,18
181,0.16,0.2,0.04,0.29,0.28,19,94,8,31,45,4,1,2,13
182,0.03,0.11,0.03,0.09,0.22,24,10,20,19,83,4,1,2,14
183,0.05,0.19,0.05,0.03,0.38,79,112,35,75,39,1,1,2,18
184,0.03,0.08,0.03,0.12,0.21,62,112,37,132,86,1,1,2,5
185,0.11,0.05,0.03,0.06,0.17,19,101,9,219,17,1,1,2,12
186,0.07,0.13,0.03,0.19,0.32,29,159,26,182,37,1,1,2,2
187,0.12,0.23,0.05,0.23,0.37,7,146,13,4,45,1,1,2,23
188,0.15,0.26,6.07,0.25,0.35,68,46,28,186,20,4,1,2,38
189,0.08,0.87,0.09,0.08,0.69,29,113,14,223,89,1,1,2,35
190,0.14,0.23,0.03,0.3,0.22,52,142,20,155,62,1,1,2,19
191,0.09,0.13,0.04,0.25,0.18,19,117,13,187,111,1,1,2,30
192,0.06,0.22,0.04,0.28,0.4,38,116,14,187,111,1,1,2,30
193,0.39,18.95,0.02,0.38,9.99,84,111,40,84,81,3,1,2,37
194,0.07,0.8,0.09,0.07,0.53,96,110,8,51,10,1,1,2,35
195,0.17,0.2,0.04,0.23,0.36,108,221,14,195,21,4,1,2,13
196,0.3,0.4,0.02,0.3,0.35,38,221,14,163,103,3,1,2,3
197,0.58,2.54,0.02,4.31,3.22,107,204,28,100,52,2,1,2,13
198,0.21,0.93,0.02,1.48,0.84,13,204,20,226,105,3,1,2,13
199,0.26,6.49,0.02,0.33,4.61,73,86,12,133,84,3,1,2,37
200,0.06,0.21,0.04,0.19,0.33,86,86,28,184,113,4,1,2,32
201,0.2,0.52,0.03,0.32,0.24,69,46,40,103,58,3,1,2,32
202,0.08,0.93,0.09,0.07,0.62,49,113,21,81,46,1,1,2,36
203,0.08,0.37,0.04,0.23,0.42,26,152,11,176,114,4,1,2,14
204,0.75,6.52,0.02,1.48,20,80,132,1,72,95,3,1,2,37
205,0.2,5.83,0.07,0.31,10.9,31,150,17,83,89,3,1,2,38
206,0.35,5.62,0.02,0.28,7.13,24,119,14,223,46,3,1,2,37
207,0.11,0.88,0.09,0.1,0.77,55,102,15,68,10,1,1,2,35
208,0.03,0.05,0.03,0.2,0.12,38,86,20,45,119,1,1,2,11
209,0.18,0.47,0.02,1.21,0.61,51,22,27,220,13,3,1,2,20
210,0.12,0.3,0.03,0.28,0.28,19,24,8,83,67,4,1,2,31
211,1.66,2.27,1.63,3.64,4.01,41,20,21,198,21,3,1,2,38
212,0.08,0.06,0.03,0.13,0.22,85,21,21,233,97,4,1,2,14
213,1.11,5.98,0.02,1.13,6.94,58,20,33,103,47,2,1,2,32
214,0.37,0.15,0.04,0.36,0.29,58,23,21,181,114,4,1,2,14
215,3.52,7.45,0.02,5.89,3.4,74,20,28,59,41,3,1,2,20
216,0.15,0.2,0.03,0.15,0.68,19,157,5,10,61,1,1,2,18
217,2.51,1.95,0.04,3.13,1.92,59,20,35,212,113,4,1,2,32
218,0.11,0.18,0.03,0.28,0.41,55,20,22,86,37,4,1,2,4
219,9.07,31.73,0.02,10.43,41.27,22,20,21,208,11,3,1,2,32
220,0.17,0.27,0.02,0.22,0.69,91,20,35,236,12,4,1,2,37
221,0.18,0.41,0.03,0.43,0.59,85,22,28,212,13,4,1,2,21
222,2.89,3.77,0.37,3.85,4.56,44,130,33,158,97,2,1,2,13
223,0.05,0.22,0.04,0.18,0.31,73,20,21,143,22,1,1,2,11
224,0.11,0.36,0.03,0.21,0.46,74,20,28,66,42,4,1,2,13
225,0.09,0.23,0.03,0.21,0.27,106,86,8,83,9,4,1,2,32
226,0.05,0.25,0.03,0.04,0.24,72,48,28,207,8,4,1,2,21
227,0.04,0.05,0.03,0.12,0.16,11,85,14,24,101,1,1,2,2
228,4.69,0.51,2.07,4.33,0.41,102,225,10,21,79,2,1,2,38
229,2.78,2.82,0.04,1.34,3.14,7,85,14,185,107,4,1,2,29
230,0.08,0.17,0.05,0.21,0.35,36,65,14,120,34,4,1,2,14
231,4.42,4.64,0.02,6.87,5.53,13,204,9,38,53,3,1,2,7
232,2.19,0.51,3.38,1.69,1.04,5,224,10,46,18,2,1,1,38
233,0.05,0.11,0.03,0.19,0.19,96,146,8,173,86,1,1,2,6
234,0.36,0.24,0.03,0.39,0.34,38,9,11,55,83,4,1,2,14
235,0.05,0.28,0.03,0.1,0.35,76,5,21,108,4,1,1,2,30
236,0.07,0.23,0.03,0.17,0.69,61,154,21,227,117,1,1,2,11
237,0.03,0.14,0.03,0.18,0.49,106,86,8,25,65,1,1,2,11
238,0.04,0.06,0.04,0.2,0.12,85,20,23,17,2,1,1,2,27
239,0.13,0.18,0.02,0.2,0.3,46,207,29,86,105,3,1,2,20
240,0.02,0.06,0.03,0.07,0.11,45,112,22,145,30,1,1,2,1
241,0.34,23.57,0.02,0.51,3,37,143,2,192,112,3,1,2,37
242,3.62,4.87,0.25,42.9,7.43,109,222,35,179,101,2,1,2,4
243,0.13,0.56,0.03,0.21,1.63,76,12,21,54,36,1,1,2,30
244,0.11,0.11,0.02,0.2,0.32,14,112,13,92,77,4,1,2,29
245,0.04,0.22,0.01,0.14,0.23,29,112,20,23,78,1,1,2,1
246,0.96,1,0.19,1.85,2.07,46,112,35,215,71,3,1,2,25
247,0.05,0.59,0.04,0.12,0.5,8,66,14,188,49,1,1,2,35
248,1.42,61.56,2.56,0.4,49.98,10,66,22,20,49,3,1,2,38
249,0.1,0.49,0.04,0.11,0.46,62,162,27,50,84,1,1,2,36
250,0.12,0.86,0.04,0.25,1.33,29,66,21,27,109,4,1,2,38
251,0.12,0.97,0.06,0.14,3.29,29,66,11,116,49,4,1,2,38
252,0.06,0.18,0.05,0.06,0.09,60,2,13,101,64,1,1,2,11
253,2.95,3.92,0.02,8.05,7.07,33,212,43,85,70,2,1,2,7
254,0.36,0.24,0.41,0.3,0.34,3,227,13,146,104,3,1,2,13
255,1.72,28.7,0.18,2.43,59.46,14,110,9,191,84,4,1,2,38
256,0.39,1.76,0.04,0.33,2.3,52,110,15,197,95,4,1,2,38
257,0.1,1.4,0.04,0.12,1.15,36,110,8,83,84,4,1,2,38
258,0.05,0.07,0.03,0.13,0.26,27,17,39,1,25,4,1,2,4
259,0.05,0.37,0.03,0.22,0.3,19,86,13,25,64,4,1,2,13
260,0.07,0.24,0.03,0.15,0.21,74,138,28,151,83,4,1,2,14
261,0.07,0.02,0.04,0.12,0.23,55,151,15,79,45,1,1,2,11
262,0.24,0.71,0.04,0.24,0.74,55,181,16,135,107,4,1,1,29
263,0.14,0.44,0.03,0.15,0.4,106,115,8,133,96,1,1,2,30
264,0.05,0.11,0.03,0.12,0.2,64,59,28,67,37,1,1,2,2
265,0.03,0.06,0.03,0.16,0.24,24,171,20,24,30,1,1,2,1
266,0.1,0.03,0.04,0.12,0.15,29,82,11,205,114,1,1,2,12
267,1.01,2.31,0.12,0.71,4.68,3,166,8,189,113,4,1,2,38
268,0.13,0.14,0.03,0.34,0.32,18,110,3,190,3,1,1,2,35
269,0.21,0.4,0.02,0.28,0.34,52,202,12,229,108,3,1,2,3
270,0.12,0.09,0.03,0.17,0.25,36,197,14,183,108,4,1,2,3
271,0.12,0.2,0.04,0.08,0.2,14,54,10,20,27,1,1,2,35
272,0.04,0.23,0.04,0.09,0.13,52,28,10,222,93,4,1,2,20
273,0.24,0.94,0.03,0.15,3.04,19,96,8,16,98,1,1,2,31
274,0.34,0.64,0.03,0.72,1.07,100,177,10,96,30,4,1,2,4
275,0.07,0.3,0.03,0.17,0.34,87,14,18,83,4,4,1,2,32
276,0.19,0.4,0.03,0.36,0.4,76,17,44,2,51,1,1,2,19
277,6.55,6.31,0.2,5.5,9.36,66,198,24,149,56,2,1,1,25
278,11.4,0.94,1.96,13.97,0.57,17,200,28,231,55,2,1,2,38
279,0.64,0.82,0.02,1.94,0.99,38,182,14,201,37,3,1,2,3
280,0.17,0.63,0.03,0.05,0.07,19,86,10,38,39,1,1,2,18
281,0.15,0.64,0.02,0.34,0.39,81,46,40,49,32,3,1,2,20
282,0.31,0.64,0.02,0.82,0.54,21,108,14,58,32,3,1,2,20
283,0.05,0.06,0.03,0.11,0.14,55,108,22,91,103,1,1,2,1
284,0.1,0.29,0.03,0.08,0.55,41,82,15,38,59,4,1,2,32
285,0.09,0.35,0.24,0.32,0.33,100,193,14,221,5,4,1,2,33
286,0.15,0.14,0.03,0.06,0.26,46,28,34,49,51,4,1,2,14
287,0.03,0.12,0.03,0.19,0.11,55,136,15,127,7,1,1,2,11
288,0.18,0.27,0.03,0.17,0.56,76,8,2,41,31,1,1,2,30
289,0.16,0.13,0.03,0.3,0.33,106,4,2,33,67,1,1,2,24
290,0.09,0.18,0.03,0.17,0.27,19,1,2,207,67,1,1,2,23
291,0.2,1.36,0.03,0.34,0.7,1,5,2,51,73,1,1,2,30
292,0.67,2.88,0.06,0.37,4.22,37,110,9,235,113,1,1,2,12
293,1.96,2.27,0.03,3.81,4.32,58,178,28,100,45,2,1,2,13
294,15.09,50.48,0.02,43.03,74.59,58,20,22,100,3,2,1,2,13
295,0.21,0.68,0.02,0.19,1,78,36,40,52,9,3,1,2,32
296,0.09,0.29,0.03,0.09,0.49,7,157,6,224,52,1,1,2,11
297,0.03,0.19,0.05,0.05,0.37,45,147,32,5,39,1,1,2,18
298,1.42,5.25,0.03,5.5,16.07,12,173,20,161,15,4,1,2,21
299,1.24,7.09,0.03,3.06,11.36,21,172,14,226,15,4,1,2,20
300,1.24,5.09,0.03,5.51,8.61,89,168,39,202,15,4,1,2,21
301,0.53,3.49,0.03,0.79,15.49,62,170,15,38,15,4,1,2,21
302,0.13,0.27,0.03,0.23,0.24,29,61,15,196,51,3,1,2,20
303,0.07,0.29,0.03,0.19,0.3,72,47,30,216,116,4,1,2,7
304,7.16,6.89,12.22,15.54,7.8,19,77,14,203,20,3,1,2,29
305,3.95,4.15,0.02,4.61,4.27,54,69,24,128,37,3,1,2,3
306,8.46,15.13,7.68,26.24,14.36,88,25,40,13,67,2,1,2,33
307,1.41,2.39,0.1,0.94,1.77,38,25,15,194,119,3,1,2,14
308,0.06,0.16,0.03,0.18,0.36,74,25,28,218,104,4,1,2,13
309,0.23,0.31,0.02,0.22,0.38,41,25,28,38,116,3,1,2,7
310,0.1,0.19,0.03,0.06,0.38,80,150,35,104,93,4,1,2,20
311,0.66,2.02,0.02,0.42,1.74,34,46,28,48,11,3,1,2,32
312,1.52,1.3,2.31,0.71,0.92,49,137,20,202,94,3,1,2,14
313,0.15,0.8,0.03,0.12,1.01,32,57,31,177,58,1,1,2,31
314,0.2,1,0.02,0.29,1.7,50,28,29,108,76,3,1,2,32
315,9.95,12.12,0.03,17.98,31.25,52,192,14,184,3,2,1,2,32
316,0.11,0.32,0.03,0.22,0.25,98,87,14,220,67,4,1,2,26
317,3.88,4.21,3.19,3.66,4.98,38,209,14,106,22,4,1,2,38
318,0.04,0.18,0.03,0.09,0.1,67,125,22,148,102,4,1,2,17
319,0.07,0.11,0.03,0.05,0.09,32,110,20,141,119,1,1,2,11
320,0.15,0.32,0.06,0.15,0.24,49,99,13,169,69,1,1,2,12
321,0.26,0.87,0.2,0.19,0.75,106,101,8,170,66,1,1,2,31
322,0.02,0.17,0.03,0.17,0.3,55,90,17,220,34,1,1,2,11
323,0.04,0.12,0.05,0.06,0.19,21,90,15,106,34,1,1,2,11
324,0.11,0.1,0.06,0.15,0.27,11,80,13,103,113,1,1,2,11
325,9.04,18.36,1.42,87.54,18.46,55,86,9,194,12,2,1,2,38
326,0.03,0.05,0.04,0.05,0.2,49,99,21,181,104,1,1,2,11
327,0.26,0.44,0.02,0.32,0.51,5,189,27,74,78,3,1,2,3
328,0.24,0.29,0.02,0.14,0.25,37,149,27,38,71,3,1,2,32
329,0.07,0.13,0.03,0.06,0.21,87,13,35,172,17,4,1,2,14
330,0.09,0.09,0.03,0.16,0.05,85,91,28,121,28,1,1,2,12
331,0.02,0.09,0.03,0.06,0.06,29,98,20,90,17,1,1,2,11
332,0.02,0.13,0.03,0.08,0.15,7,65,14,193,17,1,1,2,11
333,0.22,0.39,0.02,0.35,0.36,71,217,35,226,2,3,1,2,38
334,0.11,0.35,0.03,0.22,0.27,29,159,20,137,115,1,1,2,12
335,0.58,1.84,0.02,0.4,2.27,30,160,35,220,93,2,1,2,20
336,0.42,0.51,0.02,0.35,0.64,88,216,45,161,108,3,1,2,3
337,0.1,0.15,0.04,0.32,0.17,40,101,28,206,52,4,1,2,13
338,0.11,0.11,0.03,0.16,0.3,57,46,22,165,103,4,1,2,4
339,0.17,0.26,0.02,0.22,0.3,108,118,14,206,118,3,1,2,32
340,0.03,0.07,0.03,0.16,0.16,73,38,28,145,37,1,1,2,1
341,0.15,0.08,0.2,0.22,0.22,24,106,10,118,77,1,1,2,28
342,0.2,0.32,0.04,0.25,0.42,45,60,21,58,21,4,1,2,14
343,0.09,0.11,0.03,0.19,0.27,106,26,5,140,86,1,1,2,6
344,0.14,0.11,0.03,0.24,0.29,29,38,21,117,53,1,1,2,5
345,0.12,0.31,0.03,0.43,0.4,36,165,11,220,47,1,1,2,30
